|Run	|Time	|PosX	|PosY
12	1.239e+04	1190	987
12	1.239e+04	1191	988
12	1.239e+04	1192	988
12	1.239e+04	1193	989
12	1.24e+04	1193	989
12	1.24e+04	1193	989
12	1.24e+04	1193	990
12	1.24e+04	1193	991
12	1.24e+04	1194	991
12	1.24e+04	1195	990
12	1.24e+04	1195	990
12	1.24e+04	1196	989
12	1.24e+04	1197	988
12	1.24e+04	1198	989
12	1.24e+04	1199	990
12	1.241e+04	1199	991
12	1.241e+04	1200	991
12	1.241e+04	1201	992
12	1.241e+04	1201	993
12	1.241e+04	1202	994
12	1.241e+04	1202	994
12	1.241e+04	1202	994
12	1.241e+04	1203	995
12	1.241e+04	1204	995
12	1.242e+04	1205	996
12	1.242e+04	1205	996
12	1.242e+04	1206	997
12	1.242e+04	1206	998
12	1.242e+04	1206	998
12	1.242e+04	1205	998
12	1.242e+04	1205	997
12	1.242e+04	1206	996
12	1.242e+04	1206	995
12	1.242e+04	1206	995
12	1.242e+04	1205	995
12	1.243e+04	1205	994
12	1.243e+04	1204	994
12	1.243e+04	1205	993
12	1.243e+04	1206	992
12	1.243e+04	1207	992
12	1.243e+04	1207	992
12	1.243e+04	1208	991
12	1.243e+04	1208	992
12	1.243e+04	1209	993
12	1.244e+04	1209	993
12	1.244e+04	1210	994
12	1.244e+04	1210	994
12	1.244e+04	1210	993
12	1.244e+04	1211	992
12	1.244e+04	1212	991
12	1.244e+04	1212	991
12	1.244e+04	1213	990
12	1.244e+04	1214	991
12	1.244e+04	1214	990
12	1.244e+04	1213	990
12	1.245e+04	1214	990
12	1.245e+04	1215	990
12	1.245e+04	1215	990
12	1.245e+04	1215	990
12	1.245e+04	1216	989
12	1.245e+04	1217	988
12	1.245e+04	1218	988
12	1.245e+04	1218	989
12	1.245e+04	1219	988
12	1.246e+04	1219	988
12	1.246e+04	1220	988
12	1.246e+04	1221	987
12	1.246e+04	1222	987
12	1.246e+04	1222	987
12	1.246e+04	1222	987
12	1.246e+04	1223	986
12	1.246e+04	1224	985
12	1.246e+04	1225	985
12	1.246e+04	1226	985
12	1.246e+04	1227	984
12	1.247e+04	1227	984
12	1.247e+04	1227	983
12	1.247e+04	1228	983
12	1.247e+04	1228	983
12	1.247e+04	1229	984
12	1.247e+04	1229	984
12	1.247e+04	1230	983
12	1.247e+04	1229	984
12	1.247e+04	1229	985
12	1.248e+04	1230	985
12	1.248e+04	1231	986
12	1.248e+04	1231	986
12	1.248e+04	1231	987
12	1.248e+04	1232	987
12	1.248e+04	1233	988
12	1.248e+04	1234	988
12	1.248e+04	1235	988
12	1.248e+04	1235	988
12	1.248e+04	1236	988
12	1.248e+04	1237	989
12	1.249e+04	1238	988
12	1.249e+04	1238	989
12	1.249e+04	1239	989
12	1.249e+04	1240	989
12	1.249e+04	1241	989
12	1.249e+04	1241	990
12	1.249e+04	1242	990
12	1.249e+04	1242	990
12	1.249e+04	1242	990
12	1.25e+04	1242	990
12	1.25e+04	1243	990
12	1.25e+04	1243	990
12	1.25e+04	1242	989
12	1.25e+04	1242	989
12	1.25e+04	1243	989
12	1.25e+04	1243	988
12	1.25e+04	1244	987
12	1.25e+04	1244	987
12	1.25e+04	1244	986
12	1.25e+04	1245	987
12	1.251e+04	1245	987
12	1.251e+04	1246	986
12	1.251e+04	1246	985
12	1.251e+04	1247	984
12	1.251e+04	1248	984
12	1.251e+04	1249	984
12	1.251e+04	1250	983
12	1.251e+04	1251	983
12	1.251e+04	1252	983
12	1.252e+04	1253	984
12	1.252e+04	1253	984
12	1.252e+04	1254	985
12	1.252e+04	1254	984
12	1.252e+04	1255	984
12	1.252e+04	1256	983
12	1.252e+04	1256	983
12	1.252e+04	1257	982
12	1.252e+04	1258	982
12	1.252e+04	1259	982
12	1.252e+04	1258	981
12	1.253e+04	1259	980
12	1.253e+04	1259	980
12	1.253e+04	1260	979
12	1.253e+04	1260	980
12	1.253e+04	1260	979
12	1.253e+04	1260	979
12	1.253e+04	1261	979
12	1.253e+04	1262	978
12	1.253e+04	1262	978
12	1.254e+04	1263	977
12	1.254e+04	1263	977
12	1.254e+04	1264	976
12	1.254e+04	1264	975
12	1.254e+04	1265	975
12	1.254e+04	1266	976
12	1.254e+04	1267	977
12	1.254e+04	1267	976
12	1.254e+04	1268	975
12	1.254e+04	1269	976
12	1.254e+04	1270	975
12	1.255e+04	1271	975
12	1.255e+04	1272	975
12	1.255e+04	1273	974
12	1.255e+04	1274	974
12	1.255e+04	1275	974
12	1.255e+04	1275	974
12	1.255e+04	1276	974
12	1.255e+04	1276	975
12	1.255e+04	1277	975
12	1.256e+04	1277	975
12	1.256e+04	1278	974
12	1.256e+04	1278	973
12	1.256e+04	1279	972
12	1.256e+04	1280	972
12	1.256e+04	1281	972
12	1.256e+04	1282	973
12	1.256e+04	1282	974
12	1.256e+04	1283	973
12	1.256e+04	1283	972
12	1.256e+04	1283	972
12	1.257e+04	1284	972
12	1.257e+04	1285	972
12	1.257e+04	1286	971
12	1.257e+04	1287	970
12	1.257e+04	1287	970
12	1.257e+04	1287	969
12	1.257e+04	1286	968
12	1.257e+04	1285	967
12	1.257e+04	1286	967
12	1.258e+04	1287	966
12	1.258e+04	1288	966
12	1.258e+04	1289	967
12	1.258e+04	1289	966
12	1.258e+04	1290	965
12	1.258e+04	1291	965
12	1.258e+04	1291	965
12	1.258e+04	1292	965
12	1.258e+04	1292	964
12	1.258e+04	1292	963
12	1.258e+04	1293	963
12	1.259e+04	1293	963
12	1.259e+04	1294	963
12	1.259e+04	1295	962
12	1.259e+04	1296	963
12	1.259e+04	1296	962
12	1.259e+04	1296	962
12	1.259e+04	1297	962
12	1.259e+04	1298	962
12	1.259e+04	1299	961
12	1.26e+04	1300	961
12	1.26e+04	1301	961
12	1.26e+04	1302	962
12	1.26e+04	1302	962
12	1.26e+04	1303	961
12	1.26e+04	1304	962
12	1.26e+04	1305	962
12	1.26e+04	1306	963
12	1.26e+04	1305	963
12	1.26e+04	1305	964
12	1.26e+04	1306	963
12	1.261e+04	1306	964
12	1.261e+04	1306	963
12	1.261e+04	1305	963
12	1.261e+04	1305	962
12	1.261e+04	1305	961
12	1.261e+04	1306	961
12	1.261e+04	1307	961
12	1.261e+04	1307	960
12	1.261e+04	1307	959
12	1.262e+04	1306	960
